Holes,Strengths
AKs,0.6622
AQs,0.6785
AJs,0.6625
ATs,0.647
A9s,0.6255
A8s,0.6135
A7s,0.6202
A6s,0.5965
A5s,0.6069
A4s,0.5898
A3s,0.581
A2s,0.5728
KQs,0.6286
KJs,0.6291
KTs,0.6172
K9s,0.6058
K8s,0.583
K7s,0.5768
K6s,0.5668
K5s,0.5658
K4s,0.549
K3s,0.5378
K2s,0.5377
QJs,0.6023
QTs,0.5997
Q9s,0.5798
Q8s,0.5563
Q7s,0.5484
Q6s,0.539
Q5s,0.5251
Q4s,0.5235
Q3s,0.5208
Q2s,0.5029
JTs,0.5685
J9s,0.5562
J8s,0.5437
J7s,0.5092
J6s,0.503
J5s,0.4931
J4s,0.4841
J3s,0.4714
J2s,0.4763
T9s,0.5418
T8s,0.5211
T7s,0.5164
T6s,0.4987
T5s,0.4694
T4s,0.4763
T3s,0.4527
T2s,0.4478
98s,0.5112
97s,0.4987
96s,0.4736
95s,0.4654
94s,0.4431
93s,0.4348
92s,0.4321
87s,0.4687
86s,0.4682
85s,0.4437
84s,0.4244
83s,0.4124
82s,0.4101
76s,0.457
75s,0.4304
74s,0.4149
73s,0.4025
72s,0.3808
65s,0.4309
64s,0.4212
63s,0.3874
62s,0.3714
54s,0.4166
53s,0.3888
52s,0.3828
43s,0.388
42s,0.3639
32s,0.3643
AKo,0.6614
AQo,0.6435
AJo,0.638
ATo,0.6318
A9o,0.5958
A8o,0.6086
A7o,0.5876
A6o,0.5789
A5o,0.5686
A4o,0.5692
A3o,0.5626
A2o,0.559
KQo,0.6171
KJo,0.6015
KTo,0.5986
K9o,0.5756
K8o,0.5595
K7o,0.5571
K6o,0.5559
K5o,0.5216
K4o,0.5427
K3o,0.5167
K2o,0.5092
QJo,0.5857
QTo,0.59
Q9o,0.5465
Q8o,0.5231
Q7o,0.5223
Q6o,0.5076
Q5o,0.5088
Q4o,0.4894
Q3o,0.4815
Q2o,0.4672
JTo,0.5508
J9o,0.5439
J8o,0.5272
J7o,0.4915
J6o,0.4809
J5o,0.475
J4o,0.4612
J3o,0.4563
J2o,0.4542
T9o,0.5141
T8o,0.4922
T7o,0.4775
T6o,0.4652
T5o,0.4458
T4o,0.4348
T3o,0.4284
T2o,0.421
98o,0.4672
97o,0.4566
96o,0.444
95o,0.44
94o,0.4033
93o,0.3903
92o,0.3937
87o,0.4488
86o,0.4289
85o,0.4012
84o,0.4033
83o,0.3672
82o,0.3738
76o,0.4276
75o,0.4015
74o,0.3767
73o,0.3589
72o,0.3513
65o,0.398
64o,0.3887
63o,0.3628
62o,0.3392
54o,0.3798
53o,0.3543
52o,0.3466
43o,0.345
42o,0.3385
32o,0.3156
AAo,0.8539
KKo,0.832
QQo,0.7952
JJo,0.7545
TTo,0.7548
99o,0.7217
88o,0.6987
77o,0.6609
66o,0.6317
55o,0.5934
44o,0.5631
33o,0.5362
22o,0.5043
